From,Destination,Service Class,Via Place,Time,Slot Label,District,State,Population_Millions,Urbanisation Level,Region_Type,Interstate_Flag,Start,End,Urban_Level_Num,Interstate_Flag_Num
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",06:08:00,6 AM - 10 AM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,06:00:00,10:00:00,1,1
Mangaluru,Mudipu,Limited,Thokkottu,06:10:00,6 AM - 10 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,06:00:00,10:00:00,4,0
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",06:12:00,6 AM - 10 AM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,06:00:00,10:00:00,1,1
Mangaluru,Yenepoya,Non Ac Sleeper,Thokkottu,06:15:00,6 AM - 10 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,06:00:00,10:00:00,4,0
Mangaluru,Dharmasthala,Express,"BC Road, Belthangadi",06:15:00,6 AM - 10 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,06:00:00,10:00:00,4,0
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",06:16:00,6 AM - 10 AM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,06:00:00,10:00:00,1,1
Mangaluru,Parapu,Limited,Thokkottu,06:20:00,6 AM - 10 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,06:00:00,10:00:00,4,0
Mangaluru,Kateelu,Limited,Surathkal,06:20:00,6 AM - 10 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,06:00:00,10:00:00,4,0
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",06:20:00,6 AM - 10 AM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,06:00:00,10:00:00,1,1
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",06:24:00,6 AM - 10 AM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,06:00:00,10:00:00,1,1
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",06:28:00,6 AM - 10 AM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,06:00:00,10:00:00,1,1
Mangaluru,Chikkamagaluru,Express,"BC Road, Belthangadi",06:30:00,6 AM - 10 AM,Chikmagalur,Karnataka,1.3,Low,Mid Rural,No,06:00:00,10:00:00,1,0
Mangaluru,Mudipu,Limited,Thokkottu,06:30:00,6 AM - 10 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,06:00:00,10:00:00,4,0
Mangaluru,Gramachavadi,Limited,Thokkottu,06:30:00,6 AM - 10 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,06:00:00,10:00:00,4,0
Mangaluru,Laxmeshwar,Express,Kumta,06:30:00,6 AM - 10 AM,Gadag,Karnataka,1.21,Very Low,Top Rural,No,06:00:00,10:00:00,0,0
Mangaluru,Hindupura,Express,Sakleshpura,06:30:00,6 AM - 10 AM,Sri Sathya Sai,Andhra Pradesh,1.84,Medium,Semi Rural,Yes,06:00:00,10:00:00,2,1
