"Sl.No",From,Destination,Service Class,Via Place,Time,Slot Label
156,Mangaluru,Mudipu,Limited,Thokkottu,09:55:00,6 AM - 10 AM
157,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",09:57:00,6 AM - 10 AM
158,Mangaluru,Shivamogga,Express,"BC Road, Belthangadi",10:00:00,10 AM - 2 PM
159,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",10:00:00,10 AM - 2 PM
160,Mangaluru,Savadatti Yallamma,Express,Kumta,10:00:00,10 AM - 2 PM
161,Mangaluru,Channarayapatna,Express,Sakleshpura,10:00:00,10 AM - 2 PM
162,Mangaluru,Bengaluru,Multi Axle,Sakleshpura,10:00:00,10 AM - 2 PM
163,Mangaluru,Subramanya,Limited,Uppinangadi,10:00:00,10 AM - 2 PM
164,Mangaluru,Bengaluru,Express,Mysuru,10:00:00,10 AM - 2 PM
165,Mangaluru,Bengaluru,Volvo,Mysuru,10:00:00,10 AM - 2 PM
166,Mangaluru,Dharmasthala,Express,"BC Road, Belthangadi",10:00:00,10 AM - 2 PM
167,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",10:03:00,10 AM - 2 PM
168,Mangaluru,Dharmasthala,Limited,"BC Road, Belthangadi",10:05:00,10 AM - 2 PM
169,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",10:06:00,10 AM - 2 PM
170,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",10:09:00,10 AM - 2 PM
171,Mangaluru,Mudipu,Limited,Thokkottu,10:10:00,10 AM - 2 PM
172,Mangaluru,Uppinangady,Limited,Uppinangadi,10:10:00,10 AM - 2 PM
173,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",10:12:00,10 AM - 2 PM
174,Mangaluru,Kadur,Express,"BC Road, Belthangadi",10:15:00,10 AM - 2 PM
175,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",10:15:00,10 AM - 2 PM
176,Mangaluru,Bengaluru,Express,Sakleshpura,10:15:00,10 AM - 2 PM
177,Mangaluru,Bengaluru,Express,Mysuru,10:15:00,10 AM - 2 PM
178,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",10:18:00,10 AM - 2 PM
179,Mangaluru,Mudipu,Limited,Thokkottu,10:20:00,10 AM - 2 PM
180,Mangaluru,Shishila,Ordinary,Uppinangadi,10:20:00,10 AM - 2 PM
181,Mangaluru,Puttur,Express,B.C.Road,10:20:00,10 AM - 2 PM
182,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",10:21:00,10 AM - 2 PM
183,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",10:24:00,10 AM - 2 PM
184,Mangaluru,Dharmasthala,Limited,"BC Road, Belthangadi",10:25:00,10 AM - 2 PM
185,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",10:27:00,10 AM - 2 PM
186,Mangaluru,Kadur,Express,"BC Road, Belthangadi",10:30:00,10 AM - 2 PM
187,Mangaluru,Polali,Ordinary,Thokkottu,10:30:00,10 AM - 2 PM
188,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",10:30:00,10 AM - 2 PM
189,Mangaluru,Hubballi,Express,Kumta,10:30:00,10 AM - 2 PM
190,Mangaluru,Bengaluru,Express,Sakleshpura,10:30:00,10 AM - 2 PM
191,Mangaluru,Subramanya,Limited,Uppinangadi,10:30:00,10 AM - 2 PM
192,Udupi,Mysuru,Express,Madikeri,10:30:00,10 AM - 2 PM
193,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",10:36:00,10 AM - 2 PM
194,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",10:39:00,10 AM - 2 PM
195,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",10:42:00,10 AM - 2 PM
196,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",10:45:00,10 AM - 2 PM
197,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",10:45:00,10 AM - 2 PM
198,Mangaluru,Belagavi,Express,Kumta,10:45:00,10 AM - 2 PM
199,Mangaluru,Subramanya,Limited,Uppinangadi,10:45:00,10 AM - 2 PM
200,Mangaluru,Dharmasthala,Express,"BC Road, Belthangadi",10:45:00,10 AM - 2 PM
201,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",10:48:00,10 AM - 2 PM
202,Mangaluru,Mudipu,Limited,Thokkottu,10:50:00,10 AM - 2 PM
203,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",10:51:00,10 AM - 2 PM
204,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",10:54:00,10 AM - 2 PM
205,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",10:57:00,10 AM - 2 PM
206,Mangaluru,Shivamogga,Express,"BC Road, Belthangadi",11:00:00,10 AM - 2 PM
207,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",11:00:00,10 AM - 2 PM
208,Mangaluru,Gokarna,Express,Kumta,11:00:00,10 AM - 2 PM
209,Mangaluru,Bengaluru,Multi Axle,Sakleshpura,11:00:00,10 AM - 2 PM
210,Mangaluru,Bengaluru,Express,Sakleshpura,11:00:00,10 AM - 2 PM
211,Mangaluru,Subramanya,Limited,Uppinangadi,11:00:00,10 AM - 2 PM
212,Mangaluru,Virajpet,Express,Madikeri,11:00:00,10 AM - 2 PM
213,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",11:03:00,10 AM - 2 PM
214,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",11:06:00,10 AM - 2 PM
215,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",11:09:00,10 AM - 2 PM
216,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",11:12:00,10 AM - 2 PM
217,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",11:15:00,10 AM - 2 PM
218,Subramanya,Karwar,Express,Kumta,11:15:00,10 AM - 2 PM
219,Kundapura,Mysuru,Express,Madikeri,11:15:00,10 AM - 2 PM
220,Mangaluru,B.C.Road,Express,Farangipete,11:15:00,10 AM - 2 PM
221,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",11:18:00,10 AM - 2 PM
222,Mangaluru,Mudipu,Limited,Thokkottu,11:20:00,10 AM - 2 PM
223,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",11:21:00,10 AM - 2 PM
224,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",11:24:00,10 AM - 2 PM
225,Mangaluru,Dharmasthala,Limited,"BC Road, Belthangadi",11:25:00,10 AM - 2 PM
226,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",11:27:00,10 AM - 2 PM
227,Mangaluru,Kadur,Express,"BC Road, Belthangadi",11:30:00,10 AM - 2 PM
228,Mangaluru,Mudipu,Limited,Thokkottu,11:30:00,10 AM - 2 PM
229,Mangaluru,Adyar Padavu,Limited,Padil,11:30:00,10 AM - 2 PM
230,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",11:30:00,10 AM - 2 PM
231,Dharmasthala,Karwar,Express,Kumta,11:30:00,10 AM - 2 PM
232,Mangaluru,Subrahmanya,Limited,Uppinangadi,11:30:00,10 AM - 2 PM
233,Mangaluru,Madikeri,Express,Puttur,11:30:00,10 AM - 2 PM
234,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",11:34:00,10 AM - 2 PM
235,Mangaluru,Dharmasthala,Express,"BC Road, Belthangadi",11:35:00,10 AM - 2 PM
236,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",11:38:00,10 AM - 2 PM
237,Mangaluru,Bengaluru,Express,Sakleshpura,11:40:00,10 AM - 2 PM
238,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",11:42:00,10 AM - 2 PM
239,Mangaluru,Bengaluru,Volvo,Mysuru,11:45:00,10 AM - 2 PM
240,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",11:46:00,10 AM - 2 PM
241,Mangaluru,Dharmasthala,Limited,"BC Road, Belthangadi",11:50:00,10 AM - 2 PM
242,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",11:50:00,10 AM - 2 PM
243,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",11:55:00,10 AM - 2 PM
244,Mangaluru,Birur,Express,"BC Road, Belthangadi",12:00:00,10 AM - 2 PM
245,Mangaluru,Rehamathnagar,Limited,Thokkottu,12:00:00,10 AM - 2 PM
246,Mangaluru,Tirupati,Multi Axle,Sakleshpura,12:00:00,10 AM - 2 PM
247,Mangaluru,Holenarasipur ,Express,Sakleshpura,12:00:00,10 AM - 2 PM
